"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1933725916720738722","Sat Jun 14 03:19:20 +0000 2025","2","Ya allah semoga server youtube kebakaran","1933725916720738722","","","in","","0","0","0","https://x.com/undefined/status/1933725916720738722","3277732045",
"1933720161913352220","Sat Jun 14 03:19:00 +0000 2025","63","@zoelfick ini sama saja mendagri melempar putung rokok pada tumpukan sekam. ntar kalau sudah kebakaran yg disalahkan siapa?","1933725835409960965","","zoelfick","in","","0","1","3","https://x.com/undefined/status/1933725835409960965","1410466956134608899",
"1933718034121961754","Sat Jun 14 03:18:29 +0000 2025","0","@bielphie Bener kak maksud sy tuh reinforcement peraturannya harus dari UT lho. Kita ini numpang soalnya belum lagi bahaya fire hazard misal kebakaran karena puntung rokok yg dibuang sembarangan emg UT mau tanggung jawab kh?","1933725705776533837","","bielphie","in","","0","0","0","https://x.com/undefined/status/1933725705776533837","1204946721458909184",
"1933361203717550389","Sat Jun 14 03:18:18 +0000 2025","0","@PngAdilnR4kyt KASIHAN KALIAN TIDAK BISA MENURUNKAN JOKOWI SEKARANG KEBAKARAN JENGGOT USIK GIBRAN LAMA2 KALIAN SAKIT JIWA","1933725657445642488","","PngAdilnR4kyt","in","","0","0","1","https://x.com/undefined/status/1933725657445642488","1926142712257945600",
"1933528712005513364","Sat Jun 14 03:16:11 +0000 2025","3","@thonisho klo saya kerjain ini dulu kantor ngga kebakaran kan? ","1933725125247217973","","thonisho","in","","0","0","0","https://x.com/undefined/status/1933725125247217973","1832779318415736832",
"1933724977255288857","Sat Jun 14 03:15:36 +0000 2025","6","beginilah simulasi pencahayaan rumah tidak sehat. untuk penghawaan pun secara teori itu angin juga gak akan masuk. pemerintah mau bunuh rakyatnya secara perlahan kayaknya. trus 1 rumah kebakaran 1 kompleks habis.","1933724977255288857","","","in","","0","1","5","https://x.com/undefined/status/1933724977255288857","97951684",
"1933724429542174800","Sat Jun 14 03:13:26 +0000 2025","0","DP Khusus Ulang Tahun ke-10: 8.888.888 Cicil 10x (s/d Apr'26) Bangun: Januari 26 Akad : Max. Mei 26 Syarat &amp; Ketentuan: 1. Subsidi berkonsep mezzanine type 25/60 2. Harga sudah termasuk: Biaya Proses Pajak-Pajak Biaya Notaris AJB Balik Nama Asuransi Jiwa &amp; Kebakaran https://t.co/8LZBZl4pT5","1933724434550173985","https://pbs.twimg.com/media/GtX4ElPaAAEmdVD.jpg","GrandHarmoni","in","","0","1","0","https://x.com/undefined/status/1933724434550173985","1524954973666447360",
"1933542391270814025","Sat Jun 14 03:04:21 +0000 2025","0","@bluetuwlips kemaren kan error gara2 kebakaran wkwkwk","1933722148876791824","","bluetuwlips","in","","0","1","0","https://x.com/undefined/status/1933722148876791824","1257286330817540096",
"1933712405827309676","Sat Jun 14 03:02:08 +0000 2025","26","@DS_yantie Kenapa saat rezim kmarin kebakaran hutan spt ilang tak terdengar??... Krn ga ada yg dibakar tp lgsg pembalakan ... Kalo di bakar mungkin oleh Masy agar efisien yaa... ","1933721589406970027","","DS_yantie","in","","0","2","0","https://x.com/undefined/status/1933721589406970027","1501606510979256323",
"1933478590345327102","Sat Jun 14 03:00:14 +0000 2025","0","@islah_bahrawi Anak Mbah manis pada kebakaran jenggot smua... Mang istilah nabi punya kadal gurun doang apa??","1933721111608635805","","islah_bahrawi","in","","0","1","0","https://x.com/undefined/status/1933721111608635805","1886050795441065984",
"1933512904097345871","Sat Jun 14 02:58:51 +0000 2025","0","@Wogny HEYYYY ITU TRUK PEMADAM KEBAKARAN","1933720764961993105","","Wogny","in","","0","0","0","https://x.com/undefined/status/1933720764961993105","2198246146",
"1933720495519904011","Sat Jun 14 02:57:47 +0000 2025","2","Beberapa roket yang diluncurkan dari #Iran menghantam wilayah #TelAviv menyebabkan kebakaran dan kerusakan di sejumlah titik. Tim pemadam dan evakuasi telah dikerahkan. Situasi masih berlangsung. Dilaporkan beberapa orang terluka parah dan puluhan orang luka-luka. https://t.co/QlXeX7WedS","1933720495519904011","https://pbs.twimg.com/ext_tw_video_thumb/1933720480739176449/pu/img/hY87E8l5-tqLMbMo.jpg","","in","","0","0","0","https://x.com/undefined/status/1933720495519904011","1399413045714067467",
